feature,key,L,eta,split,distinct_h,cell_count,mean_z,std_z
v2,7,512,0.4946521785767002,train,1,1,-0.0459317225386134,0
v2,7,512,0.4946521785767002,holdout,1,1,-0.04306098987995002,0
v2,7,1024,0.5496135317518891,train,1,1,-0.061964897260273974,0
v2,7,1024,0.5496135317518891,holdout,1,1,-0.061215753424657536,0
v2,7,2048,0.604574884927078,train,1,1,-0.084971272352636,0
v2,7,2048,0.604574884927078,holdout,1,1,-0.08512314236577762,0
v2,7,4096,0.6595362381022669,train,1,1,-0.12445934256055363,0
v2,7,4096,0.6595362381022669,holdout,1,1,-0.11721453287197232,0
v2,7,8192,0.7144975912774558,train,1,1,-0.18142871359391696,0
v2,7,8192,0.7144975912774558,holdout,1,1,-0.17154317471219682,0
v2,8,256,0.4396908254015113,train,1,1,-0.05247440273037542,0
v2,8,512,0.4946521785767002,train,1,1,-0.0273475058535823,0
v2,8,1024,0.5496135317518891,train,1,1,-0.039383561643835614,0
v2,8,2048,0.604574884927078,train,1,1,-0.05330637461264556,0
v2,8,4096,0.6595362381022669,train,1,1,-0.08109861591695501,0
v2,8,8192,0.7144975912774558,train,1,1,-0.12727146724974964,0
v2,9,256,0.4396908254015113,holdout,1,1,-0.02666382252559727,0
v2,9,512,0.4946521785767002,holdout,1,1,-0.00604364770244912,0
v2,9,1024,0.5496135317518891,holdout,1,1,-0.007384417808219178,0
v2,9,2048,0.604574884927078,holdout,1,1,-0.008656590749062106,0
v2,9,4096,0.6595362381022669,holdout,1,1,-0.01676038062283737,0
v2,9,8192,0.7144975912774558,holdout,1,1,-0.03264166171924748,0
omega,0,256,0.4396908254015113,train,1,1,0.022397610921501707,0
omega,0,512,0.4946521785767002,train,1,1,-0.030369329704806856,0
omega,0,1024,0.5496135317518891,train,1,1,-0.04398544520547945,0
omega,0,2048,0.604574884927078,train,1,1,-0.06644313074938028,0
omega,0,4096,0.6595362381022669,train,1,1,-0.09985942906574395,0
omega,0,8192,0.7144975912774558,train,1,1,-0.16390611134082916,0
omega,1,256,0.4396908254015113,train,70,70,0.0004784251584592882,0.04163139174567664
omega,1,256,0.4396908254015113,holdout,47,47,0.0028320383414421613,0.04166624282658289
omega,1,512,0.4946521785767002,train,70,70,0.0007122870506457921,0.03878773157826535
omega,1,512,0.4946521785767002,holdout,47,47,-0.0013341030832533926,0.0368160233589344
omega,1,1024,0.5496135317518891,train,70,70,0.0006497676125244655,0.054799453066298576
omega,1,1024,0.5496135317518891,holdout,47,47,-0.0013275102011075495,0.05208560613511097
omega,1,2048,0.604574884927078,train,70,70,0.0003731663180046708,0.07774324710622883
omega,1,2048,0.604574884927078,holdout,47,47,-0.0018240557961349594,0.07343608778925502
omega,1,4096,0.6595362381022669,train,70,70,-0.00034833786455757836,0.11046644668744768
omega,1,4096,0.6595362381022669,holdout,47,47,-0.0018681440035338299,0.10400106285364848
omega,1,8192,0.7144975912774558,train,70,70,-0.001736199685949099,0.15655137003237402
omega,1,8192,0.7144975912774558,holdout,47,47,-0.0023350822339715653,0.14745958826044972
omega,2,256,0.4396908254015113,train,141,141,0.002785140270617001,0.038912841232786724
omega,2,256,0.4396908254015113,holdout,131,131,0.00014329260349633843,0.04185107454509898
omega,2,512,0.4946521785767002,train,141,141,-0.00020788433586439118,0.04023793602055114
omega,2,512,0.4946521785767002,holdout,131,131,0.0027819233317380337,0.042480503750059094
omega,2,1024,0.5496135317518891,train,141,141,-0.00002960142815505688,0.05688920540796071
omega,2,1024,0.5496135317518891,holdout,131,131,0.003932800899299383,0.05979782955618612
omega,2,2048,0.604574884927078,train,141,141,0.00040067833254337046,0.08071738485427438
omega,2,2048,0.604574884927078,holdout,131,131,0.005429063141537142,0.08421647940909889
omega,2,4096,0.6595362381022669,train,141,141,0.0009528608064001585,0.11479815664558411
omega,2,4096,0.6595362381022669,holdout,131,131,0.007563013418209678,0.11919149605412686
omega,2,8192,0.7144975912774558,train,141,141,0.0012886530590632984,0.16465259392041082
omega,2,8192,0.7144975912774558,holdout,131,131,0.010717397878771589,0.16984764786116963
